iceberg_id,start_time,end_time,start_latitude,start_longitude,observed_latitude,observed_longitude,displacement_m,displacement_km,azimuth_deg,observed_u,observed_v,observed_speed,duration_hours,ocean_u,ocean_v,ocean_speed,wind_u,wind_v,wind_speed,temperature,wave_height
b09i,2021-05-30,2021-05-31,-66.504,-44.621,-66.491,-44.78,7225.363664291072,7.225363664291073,-78.49858143245541,-0.0819476468440248,0.016674550091075,0.0836268942626281,24.0,-0.07200000435113907,0.006000000052154064,0.07224957181319412,-4.6369171142578125,2.0773468017578125,5.080981210285117,,
b16,2019-02-23,2019-02-24,-62.435,-44.095,-62.435,-44.095,0.0,0.0,0.0,0.0,0.0,0.0,24.0,-0.09300000220537186,-0.024000000208616257,0.0960468657490329,-8.091400146484375,4.121826171875,9.080760283240664,,
b16,2019-02-24,2019-02-25,-62.435,-44.095,-62.435,-44.095,0.0,0.0,0.0,0.0,0.0,0.0,24.0,-0.05700000375509262,-0.007000000216066837,0.05742821981487419,-6.9403533935546875,2.2350311279296875,7.2913557978088495,,
b16,2019-02-25,2019-02-26,-62.435,-44.095,-62.435,-44.095,0.0,0.0,0.0,0.0,0.0,0.0,24.0,-0.04800000041723251,0.012000000104308128,0.04947726793748536,-5.402099609375,4.3915252685546875,6.961908816837797,,
b16,2019-02-26,2019-02-27,-62.435,-44.095,-62.435,-44.095,0.0,0.0,0.0,0.0,0.0,0.0,24.0,-0.039000000804662704,0.07600000500679016,0.08542248429890002,5.248870849609375,4.533111572265625,6.935398021922575,,
b16,2019-02-27,2019-02-28,-62.435,-44.095,-62.435,-44.095,0.0,0.0,0.0,0.0,0.0,0.0,24.0,-0.0430000014603138,0.1850000023841858,0.18993156927624152,6.6996307373046875,11.021286010742188,12.897821418628,,
b16,2019-02-28,2019-03-01,-62.435,-44.095,-62.393,-44.157,5672.802001193271,5.672802001193271,-34.422297783724524,-0.037115362197276,0.0541603921508717,0.0656574305693665,24.0,-0.1850000023841858,0.23400001227855682,0.2982968431420512,-2.9922332763671875,11.10394287109375,11.50004379403456,,
b16,2019-03-01,2019-03-02,-62.393,-44.157,-62.389,-44.332,9062.93172193379,9.06293172193379,-87.25800947201876,-0.1047749470299154,0.0050180212435533,0.1048950430779373,24.0,-0.10200000554323196,0.22600001096725464,0.24795162045854544,-4.402069091796875,12.691665649414062,13.433413164399814,,
d21b,2020-08-24,2020-08-25,-66.551,-44.266,-66.554,-44.35,3746.272630987325,3.746272630987325,-95.16193250119711,-0.0431837873888455,-0.0039011051886095,0.0433596369327236,24.0,-0.06100000441074371,0.009000000543892384,0.06166036448076524,-4.616119384765625,1.0294036865234375,4.729506329865414,,
d21b,2020-08-25,2020-08-26,-66.554,-44.35,-66.572,-44.292,3265.1635171309504,3.2651635171309503,127.96083403484089,0.0297958045055627,-0.0232462510529376,0.0377912444112378,24.0,-0.024000000208616257,0.024000000208616257,0.03394112579198222,-1.931427001953125,2.1143951416015625,2.8637522725790943,,
d21b,2020-08-26,2020-08-27,-66.572,-44.292,-66.562,-44.422,5878.023021092407,5.878023021092408,-79.12342070330261,-0.0668105299285554,0.0128373596412397,0.0680326738552361,24.0,-0.003000000026077032,0.03100000135600567,0.031144824357006985,3.7783966064453125,-5.460235595703125,6.6400642825337854,,
d21b,2020-08-27,2020-08-28,-66.562,-44.422,-66.605,-44.63,10399.419057508205,10.399419057508204,-117.55356697996515,-0.1067118509565371,-0.0556775382353692,0.1203636464989375,24.0,-0.04100000113248825,0.02200000174343586,0.04652956231875837,-2.8982696533203125,-0.3015289306640625,2.913912606682784,,
d21b,2020-08-28,2020-08-29,-66.605,-44.63,-66.525,-45.007,18967.050591264797,18.967050591264798,-62.1157566683293,-0.1940378186008156,0.1026694254734869,0.2195260485100092,24.0,-0.14400000870227814,0.007000000216066837,0.14417004719871987,-7.08453369140625,6.504364013671875,9.617555242732946,,
d21b,2020-08-29,2020-08-30,-66.525,-45.007,-66.387,-45.29,19901.620071497324,19.901620071497323,-39.48323069241283,-0.146464027495792,0.1777810609523864,0.2303428249015894,24.0,-0.20800000429153442,0.010000000707805157,0.20824025019057782,-10.15948486328125,5.169952392578125,11.39927806612178,,
d21b,2020-08-30,2020-08-31,-66.387,-45.29,-66.212,-45.566,23112.625318387258,23.11262531838726,-32.52693816777455,-0.1438375923326703,0.2255457140733012,0.267507237481334,24.0,-0.22300000488758087,0.10200000554323196,0.24522031586041243,-8.483016967773438,11.951766967773438,14.656272054226214,,
d29a,2022-11-01,2022-11-02,-66.904,-44.191,-66.912,-44.41,9630.249961490652,9.630249961490652,-95.41632586567292,-0.1109635641745071,-0.0105210464142701,0.1114612264061418,24.0,-0.04700000211596489,0.02800000086426735,0.05470831972652493,0.4751129150390625,3.1387939453125,3.174548741658777,,
d29a,2022-11-02,2022-11-03,-66.912,-44.41,-66.918,-44.612,8867.247351655786,8.867247351655786,-94.42056685730394,-0.1023248681921309,-0.007910418467943,0.1026301776812012,24.0,-0.0430000014603138,0.03800000250339508,0.057384669693612604,2.3498382568359375,2.0052642822265625,3.0891462695805405,,
d29a,2022-11-03,2022-11-04,-66.918,-44.612,-66.804,-44.994,21034.520685488074,21.03452068548808,-52.99019270811132,-0.1944068066408666,0.146548215629056,0.2434551005264823,24.0,0.02800000086426735,0.07200000435113907,0.07725283603184427,5.33819580078125,0.8844757080078125,5.410973266015504,,
d29a,2022-11-04,2022-11-05,-66.804,-44.994,-66.777,-45.108,5849.840178742726,5.849840178742726,-59.07390204175306,-0.0580807137936536,0.0347965314357872,0.067706483550263,24.0,-0.05300000309944153,0.06100000441074371,0.08080842076573186,-3.1456756591796875,-3.90521240234375,5.01457468387649,,
d29a,2022-11-05,2022-11-06,-66.777,-45.108,-66.736,-45.218,6662.6178266112765,6.662617826611276,-46.7161992780989,-0.0561361510361735,0.0528700749574774,0.0771136322524453,24.0,-0.2800000011920929,0.12800000607967377,0.3078701060901635,-4.483642578125,13.22528076171875,13.96463755328664,,
d29a,2022-11-06,2022-11-07,-66.736,-45.218,-66.685,-45.323,7336.553974785767,7.336553974785767,-39.22376982388524,-0.0536953166360341,0.065781225698817,0.084913819152613,24.0,-0.02200000174343586,0.08100000023841858,0.08393449895802674,4.2100677490234375,1.0993499755859375,4.351234401889661,,
d29a,2022-11-07,2022-11-08,-66.685,-45.323,-66.628,-45.421,7693.939065474897,7.693939065474897,-34.3382118207774,-0.0502311694580444,0.073530751494877,0.0890502206652187,24.0,0.04400000348687172,-0.0990000069141388,0.10833744355412976,-2.8819122314453125,-8.935653686523438,9.388893700284076,,
