iceberg_id,start_time,end_time,start_latitude,start_longitude,observed_latitude,observed_longitude,persistence_error_km,baseline_error_km,calibrated_error_km
d29c,2023-06-17,2023-06-18,-65.532,-49.878,-65.529,-49.831,2.198774377217823,3.4679920999591203,2.101299368132614
d29c,2023-06-18,2023-06-19,-65.529,-49.831,-65.529,-49.831,0.0,9.817224615565065,1.6668894223269626
d29c,2023-06-19,2023-06-20,-65.529,-49.831,-65.502,-49.872,3.558254375839955,12.933068810075266,4.992606164506725
d29c,2023-06-20,2023-06-21,-65.502,-49.872,-65.434,-49.928,8.013927378251818,7.6288152847005914,4.968640006002785
d29c,2023-06-21,2023-06-22,-65.434,-49.928,-65.253,-49.949,20.204774289211052,11.963421600201592,13.461401216794187
d29c,2023-06-22,2023-06-23,-65.253,-49.949,-65.146,-49.892,12.22492477405866,4.580462742561526,8.100087664100716
d31,2023-08-04,2023-08-05,-62.33,-48.18,-62.338,-47.979,10.454654280681083,16.540318277786625,11.118637563323654
d31,2023-08-05,2023-08-06,-62.338,-47.979,-62.358,-47.82,8.532436445119615,23.893547643097858,10.8123496523694
d31,2023-08-06,2023-08-07,-62.358,-47.82,-62.385,-47.69,7.370916859631247,9.214720595950437,7.812434250563623
d31,2023-08-07,2023-08-08,-62.385,-47.69,-62.415,-47.576,6.77714467007917,2.9596907113537103,6.394693328913281
d31,2023-08-08,2023-08-09,-62.415,-47.576,-62.442,-47.465,6.475971075985861,15.35159284708249,8.102030746994544
d31,2023-08-09,2023-08-10,-62.442,-47.465,-62.462,-47.344,6.631888468243625,9.601876995508686,6.8553358620429155
d31,2023-08-10,2023-08-11,-62.462,-47.344,-62.47,-47.2,7.483157315027374,27.236609930262482,3.862740413888223
